 

stn;time;rre150h0
EVO;2023090802;0.0
EVO;2023090803;0.0
EVO;2023090804;0.0
EVO;2023090805;0.0
EVO;2023090806;0.0
EVO;2023090807;0.0
EVO;2023090808;0.0
EVO;2023090809;0.0
EVO;2023090810;0.0
EVO;2023090811;0.0
EVO;2023090812;0.0
EVO;2023090813;0.0
EVO;2023090814;0.0
EVO;2023090815;0.0
EVO;2023090816;0.0
EVO;2023090817;0.0
EVO;2023090818;0.0
EVO;2023090819;0.0
EVO;2023090820;0.0
EVO;2023090821;0.0
EVO;2023090822;0.0
EVO;2023090823;0.0
EVO;2023090900;0.0
EVO;2023090901;0.0
EVO;2023090902;0.0
EVO;2023090903;0.0
EVO;2023090904;0.0
EVO;2023090905;0.0
EVO;2023090906;0.0
EVO;2023090907;0.0
EVO;2023090908;0.0
EVO;2023090909;0.0
EVO;2023090910;0.0
EVO;2023090911;0.0
EVO;2023090912;0.0
EVO;2023090913;0.0
EVO;2023090914;0.0
EVO;2023090915;0.0
EVO;2023090916;0.0
EVO;2023090917;0.0
EVO;2023090918;0.0
EVO;2023090919;0.0
EVO;2023090920;0.0
EVO;2023090921;0.0
EVO;2023090922;0.0
EVO;2023090923;0.0
EVO;2023091000;0.0
EVO;2023091001;0.0
EVO;2023091002;0.0
EVO;2023091003;0.0
EVO;2023091004;0.0
EVO;2023091005;0.0
EVO;2023091006;0.0
EVO;2023091007;0.0
EVO;2023091008;0.0
EVO;2023091009;0.0
EVO;2023091010;0.0
EVO;2023091011;0.0
EVO;2023091012;0.0
EVO;2023091013;0.0
EVO;2023091014;0.0
EVO;2023091015;0.0
EVO;2023091016;0.0
EVO;2023091017;0.0
EVO;2023091018;0.0
EVO;2023091019;0.0
EVO;2023091020;0.0
EVO;2023091021;0.0
EVO;2023091022;0.0
EVO;2023091023;0.0
EVO;2023091100;0.0
EVO;2023091101;0.0
EVO;2023091102;0.0
EVO;2023091103;0.0
EVO;2023091104;0.0
EVO;2023091105;0.0
EVO;2023091106;0.0
EVO;2023091107;0.0
EVO;2023091108;0.0
EVO;2023091109;0.0
EVO;2023091110;0.0
EVO;2023091111;0.0
EVO;2023091112;0.0
EVO;2023091113;0.0
EVO;2023091114;0.0
EVO;2023091115;0.0
EVO;2023091116;0.0
EVO;2023091117;0.0
EVO;2023091118;0.0
EVO;2023091119;0.0
EVO;2023091120;0.0
EVO;2023091121;0.0
EVO;2023091122;0.0
EVO;2023091123;0.0
EVO;2023091200;0.0
EVO;2023091201;0.0
EVO;2023091202;0.0
EVO;2023091203;0.0
EVO;2023091204;0.0
EVO;2023091205;0.0
EVO;2023091206;0.0
EVO;2023091207;0.0
EVO;2023091208;0.0
EVO;2023091209;0.0
EVO;2023091210;0.1
EVO;2023091211;0.0
EVO;2023091212;0.0
EVO;2023091213;0.0
EVO;2023091214;0.3
EVO;2023091215;1.2
EVO;2023091216;0.0
EVO;2023091217;0.0
EVO;2023091218;0.0
EVO;2023091219;0.0
EVO;2023091220;0.1
EVO;2023091221;1.8
EVO;2023091222;0.0
EVO;2023091223;0.0
EVO;2023091300;0.0
EVO;2023091301;0.0
EVO;2023091302;0.0
EVO;2023091303;0.0
EVO;2023091304;0.0
EVO;2023091305;0.0
